"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Quadrant","Stratum","Identification Date","Identification Analyst","Common Name","Scientific Name","Taxonomic Resolution","Unique Taxonomic Identification Number","Identification Qualifier ","Qualifier Taxonomic Rank "
Rotation 1,1378,2018,26-May-18,CUH,SE,Log/Stump,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Log/Stump,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Log/Stump,24-Aug-18,KWI2,Knight's Plume Moss,Ptilidium pulcherrimum,Species,99000893,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Log/Stump,24-Aug-18,KWI2,Sickle-leaved Hook-moss,Sanionia uncinata,Species,99000804,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Log/Stump,24-Aug-18,KWI2,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Log/Stump,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Log/Stump,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Log/Stump,24-Aug-18,KWI2,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Log/Stump,24-Aug-18,KWI2,Common Hair-cap,Pohlia nutans,Species,99000859,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Log/Stump,24-Aug-18,KWI2,Sickle-leaved Hook-moss,Sanionia uncinata,Species,99000804,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Rock,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Rock,24-Aug-18,KWI2,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Rock,24-Aug-18,KWI2,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Rock,24-Aug-18,KWI2,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Tree/Other,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Tree/Other,24-Aug-18,KWI2,Knight's Plume Moss,Ptilidium pulcherrimum,Species,99000893,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Tree/Other,24-Aug-18,KWI2,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Tree/Other,24-Aug-18,KWI2,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Tree/Other,24-Aug-18,KWI2,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Upland,24-Aug-18,KWI2,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Upland,24-Aug-18,KWI2,Broom Moss,Dicranum polysetum,Species,99000334,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Upland,24-Aug-18,KWI2,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Upland,24-Aug-18,KWI2,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SE,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Log/Stump,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Log/Stump,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Log/Stump,24-Aug-18,KWI2,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Log/Stump,24-Aug-18,KWI2,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Rock,24-Aug-18,KWI2,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Log/Stump,24-Aug-18,KWI2,Knight's Plume Moss,Ptilidium pulcherrimum,Species,99000893,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Log/Stump,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Log/Stump,24-Aug-18,KWI2,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Rock,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Rock,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Rock,24-Aug-18,KWI2,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Tree/Other,24-Aug-18,KWI2,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Tree/Other,24-Aug-18,KWI2,Knight's Plume Moss,Ptilidium pulcherrimum,Species,99000893,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Tree/Other,24-Aug-18,KWI2,Knight's Plume Moss,Ptilidium pulcherrimum,Species,99000893,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Tree/Other,24-Aug-18,KWI2,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Tree/Other,24-Aug-18,KWI2,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Tree/Other,24-Aug-18,KWI2,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Upland,24-Aug-18,KWI2,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Upland,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Upland,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Upland,24-Aug-18,KWI2,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Upland,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Upland,24-Aug-18,KWI2,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Wetland,24-Aug-18,KWI2,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Wetland,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Wetland,24-Aug-18,HPI,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Wetland,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Wetland,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Wetland,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Wetland,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Wetland,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Wetland,24-Aug-18,KWI2,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Wetland,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1378,2018,26-May-18,CUH,SW,Wetland,24-Aug-18,KWI2,SNI,SNI,VNA,VNA,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Log/Stump,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Rock,13-Jul-22,KWI2,VNA,Pottiaceae,Family,99000466,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Rock,13-Jul-22,KWI2,Hairy Screw Moss,Syntrichia ruralis,Species,99000708,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Rock,13-Jul-22,KWI2,VNA,Orthotrichum,Genus,99000633,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Rock,13-Jul-22,KWI2,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Tree/Other,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Upland,13-Jul-22,KWI2,Hairy Screw Moss,Syntrichia ruralis,Species,99000708,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Upland,13-Jul-22,KWI2,VNA,Bryum,Genus,99000545,s.l.,Genus,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Upland,13-Jul-22,KWI2,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Upland,13-Jul-22,KWI2,VNA,Bryum,Genus,99000545,s.l.,Genus,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Upland,13-Jul-22,KWI2,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Upland,14-Aug-19,GCO,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Upland,13-Jul-22,KWI2,Hairy Screw Moss,Syntrichia ruralis,Species,99000708,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,NE,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SE,Log/Stump,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SE,Rock,13-Jul-22,KWI2,VNA,Hypnum vaucheri,Species,99001085,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SE,Rock,13-Jul-22,KWI2,VNA,Orthotrichum,Genus,99000633,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SE,Rock,13-Jul-22,KWI2,VNA,Bryum lanatum,Species,99005376,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SE,Rock,13-Jul-22,KWI2,VNA,Orthotrichum pylaisii,Species,99000937,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SE,Rock,13-Jul-22,KWI2,Hairy Screw Moss,Syntrichia ruralis,Species,99000708,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SE,Tree/Other,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SE,Upland,13-Jul-22,KWI2,Hairy Screw Moss,Syntrichia ruralis,Species,99000708,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SE,Upland,13-Jul-22,KWI2,VNA,Tortula,Genus,99000697,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SE,Upland,13-Jul-22,KWI2,VNA,Bryum lanatum,Species,99005376,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SE,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SW,Log/Stump,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SW,Rock,13-Jul-22,KWI2,VNA,Hypnum,Genus,99000601,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SW,Rock,13-Jul-22,KWI2,VNA,Orthotrichum,Genus,99000633,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SW,Tree/Other,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SW,Upland,13-Jul-22,KWI2,VNA,Bryum,Genus,99000545,s.l.,Genus,
Rotation 1,1400,2019,15-Jul-19,GPE,SW,Upland,13-Jul-22,KWI2,VNA,Hypnum revolutum,Species,99001084,VNA,VNA,
Rotation 1,1400,2019,15-Jul-19,GPE,SW,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,20-Aug-19,KJO,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,20-Aug-19,KJO,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,05-May-20,BM,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,05-May-20,BM,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,05-May-20,BM,Hispid Campylium Moss,Campylium stellatum,Species,99001144,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,05-May-20,BM,Warnstorf's Bog-moss,Sphagnum warnstorfii,Species,99000310,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,05-May-20,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,05-May-20,BM,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,05-May-20,BM,Hispid Campylium Moss,Campylium stellatum,Species,99001144,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,05-May-20,BM,Marsh Thyme-moss,Plagiomnium ellipticum,Species,99000961,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,05-May-20,BM,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Log/Stump,05-May-20,BM,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Rock,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Tree/Other,05-May-20,BM,VNA,Calliergonaceae,Family,99000479,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Tree/Other,05-May-20,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Tree/Other,20-Aug-19,KJO,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Tree/Other,20-Aug-19,KJO,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Tree/Other,20-Aug-19,KJO,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Tree/Other,20-Aug-19,KJO,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Tree/Other,05-May-20,BM,Warnstorf's Bog-moss,Sphagnum warnstorfii,Species,99000310,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Tree/Other,05-May-20,BM,VNA,Ptychostomum pseudotriquetrum,Species,99001234,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Tree/Other,05-May-20,BM,Hispid Campylium Moss,Campylium stellatum,Species,99001144,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Tree/Other,05-May-20,BM,VNA,Amblystegiaceae,Family,99000480,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Upland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,VNA,Scorpidium cossonii,Species,99000984,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Common Hair-cap,Pohlia nutans,Species,99000859,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Warnstorf's Bog-moss,Sphagnum warnstorfii,Species,99000310,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Lesser Crestwort,Lophocolea minor,Species,99000989,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Broad-nerved Hump-moss,Meesia uliginosa,Species,99001024,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,04-Aug-20,KWI2,Hispid Campylium Moss,Campylium stellatum,Species,99001144,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,04-Aug-20,KWI2,Strict Haircap,Polytrichum strictum,Species,99000872,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,04-Aug-20,KWI2,VNA,Scorpidium cossonii,Species,99000984,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,04-Aug-20,KWI2,Common Hair-cap,Pohlia nutans,Species,99000859,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,04-Aug-20,KWI2,VNA,Lophozia,Genus,99000616,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,04-Aug-20,KWI2,Hispid Campylium Moss,Campylium stellatum,Species,99001144,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,04-Aug-20,KWI2,Warnstorf's Bog-moss,Sphagnum warnstorfii,Species,99000310,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Wavy Dicranum,Dicranum scoparium,Species,99000335,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Bog Pouchwort,Calypogeia sphagnicola,Species,99001256,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Warnstorf's Bog-moss,Sphagnum warnstorfii,Species,99000310,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Wavy Heron's-bill Moss,Dicranum undulatum,Species,98286732,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,31-Jul-20,KWI2,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,20-Aug-19,BM,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,20-Aug-19,BM,VNA,Ptychostomum pseudotriquetrum,Species,99001234,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,Spruce's Leskea,Platydictya jungermannioides,Species,99000839,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,Wavy Heron's-bill Moss,Dicranum undulatum,Species,98286732,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Calliergonaceae,Family,99000479,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,Golden Thread-moss,Leptobryum pyriforme,Species,99000976,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Calliergonaceae,Family,99000479,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,Hispid Campylium Moss,Campylium stellatum,Species,99001144,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Moerckia hibernica,Species,99000906,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Mniaceae,Family,99000456,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,Warnstorf's Bog-moss,Sphagnum warnstorfii,Species,99000310,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,04-Aug-20,KWI2,VNA,Scorpidium cossonii,Species,99000984,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,04-Aug-20,KWI2,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Dicranum,Genus,99000324,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,19-Aug-19,KJO,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,Common Hair-cap,Pohlia nutans,Species,99000859,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Scorpidium cossonii,Species,99000984,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Scorpidium cossonii,Species,99000984,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Scorpidium cossonii,Species,99000984,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Scorpidium cossonii,Species,99000984,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,Black Golf Club Moss,Catoscopium nigritum,Species,99001145,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,VNA,Scorpidium cossonii,Species,99000984,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,Twisted Moss,Tortella tortuosa,Species,99000766,VNA,VNA,
Rotation 1,1401,2019,10-Jun-19,JSI2,NE,Wetland,05-May-20,KWI2,Wavy Heron's-bill Moss,Dicranum undulatum,Species,98286732,VNA,VNA,
